snr_db,sigma_step_hz,trial_index,trajectory_seed,noise_seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,max_abs_frequency_hz,frequency_rms_hz,frequency_peak_to_peak_hz,max_abs_phase_rad,phase_rms_rad,phase_peak_to_peak_rad,final_phase_rad,fitted_constant_hz,fitted_linear_coefficient,runtime_seconds
-30.5,0.02,75,2026200575,2026110675,1,K1ABC FN42 33,-30,0,10.140200,0.15980911917774,0.056125671838056945,0.24811046554053273,5.445537232767099,2.413186222473351,10.019085627113542,-2.2874280594664675e-13,-0.04081259762288143,0.0007834514887416411,0.05800176000047941
-30.5,0.02,71,2026200571,2026110671,0,,,,,0.19301250864824832,0.06700539129608248,0.3221970610311785,8.331735390437379,4.002219517591377,14.465762601366727,2.1253571819146444e-13,-0.0451463704255401,-0.10563755218416002,0.5028158999994048
-30.5,0.02,74,2026200574,2026110674,1,K1ABC FN42 33,-30,0,10.140200,0.12845452025049492,0.050383892274751874,0.2168176970375778,6.5017534498011536,4.009142462377684,12.658951612820534,5.2916004911196524e-14,-0.2139996134946645,-0.1969414326169481,0.25028449400087993
-30.5,0.02,76,2026200576,2026110676,1,K1ABC FN42 33,-30,0,10.140200,0.1409516207935097,0.07187015036156616,0.28056193373443916,12.187032687330692,6.8946173761520795,20.934592402903963,-1.427989670954588e-12,0.011434617534754755,0.013531008358095719,0.2904073560002871
-30.5,0.02,77,2026200577,2026110677,1,K1ABC FN42 33,-30,0,10.140200,0.11916465371835777,0.054299713296836104,0.22520548143106364,5.3987183663084695,2.787850332676718,10.711024145958596,1.003456432530081e-12,-0.14719943461995433,-0.17247154493044003,0.2634372920001624
-30.5,0.02,80,2026200580,2026110680,1,K1ABC FN42 33,-30,0,10.140200,0.16863490428767483,0.06837608017527406,0.3226357460680018,10.194444493965555,5.539618949789337,16.372022133725732,-1.312279278298245e-13,0.1838184089929156,0.07711158375325293,0.05494802700013679
-30.5,0.02,78,2026200578,2026110678,1,K1ABC FN42 33,-30,0,10.140200,0.2109476653821511,0.05264616736924567,0.3318464059502064,6.2419463114203895,3.4950879224622,12.070828302692107,8.337089699161915e-13,-0.1261431531166314,0.08480451226551967,0.2820220710000285
-30.5,0.02,79,2026200579,2026110679,1,K1ABC FN42 33,-31,0,10.140200,0.12753070866002672,0.04258229693689053,0.2263822727667351,4.012698686478522,1.7002675808349508,6.7691184714244965,1.9327551711856295e-13,0.06138836433404595,0.1247114719221197,0.24940593000064837
-30.5,0.02,83,2026200583,2026110683,1,K1ABC FN42 33,-30,0,10.140200,0.21496622973214918,0.06722311809854382,0.3685533533915434,7.921090398872052,4.381413108815273,14.227040023032904,-2.096153112196575e-14,0.32502317928176805,0.3421195284190661,0.09396020400163252
-30.5,0.02,82,2026200582,2026110682,1,K1ABC FN42 33,-30,0,10.140200,0.1566886048344161,0.052391403151570086,0.28320448690817623,7.284403332774925,3.301764499968555,11.900328236724004,-5.891012504199988e-15,0.17194038826892039,0.17174441427106585,0.254991746000087
