source_dataset,trajectory_family,trajectory_id,trajectory_identity,snr_db,seed,trajectory_seed,noise_seed,trial_index,decoded_success,max_abs_frequency_hz,frequency_rms_hz,max_abs_phase_rad,phase_rms_rad,first_difference_rms_hz,total_variation_hz,second_difference_rms_hz,normalized_first_difference_rms,normalized_second_difference_rms,snr_c
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100262,,2026100262,62,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100265,,2026100265,65,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100264,,2026100264,64,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100259,,2026100259,59,0,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100266,,2026100266,66,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100268,,2026100268,68,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100263,,2026100263,63,0,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100269,,2026100269,69,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100270,,2026100270,70,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100267,,2026100267,67,0,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100272,,2026100272,72,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100274,,2026100274,74,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100273,,2026100273,73,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100277,,2026100277,77,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
