message,callsign,grid,power,condition,snr_db,linear_drift_hz,quadratic_residual_hz,trial_index,noise_seed,decoded_success,decoded_message,reported_snr,reported_drift,runtime_seconds
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,84,2026112084,1,F5ABC JN18 40,-30,0,0.06284691800001951
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,85,2026112085,1,F5ABC JN18 40,-31,0,0.07163120799998524
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,80,2026112080,0,,,,0.49889701099999684
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,87,2026112087,1,F5ABC JN18 40,-32,0,0.3299855159999936
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,81,2026112081,0,,,,0.510065897000004
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,86,2026112086,0,,,,0.49356560799998306
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,90,2026112090,1,F5ABC JN18 40,-30,0,0.12931660500001385
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,88,2026112088,1,F5ABC JN18 40,-31,0,0.26854526700000747
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,89,2026112089,1,F5ABC JN18 40,-31,0,0.23099487999999724
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,91,2026112091,1,F5ABC JN18 40,-31,0,0.3234349399999985
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,95,2026112095,1,F5ABC JN18 40,-30,0,0.07542809699998543
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,92,2026112092,0,,,,0.49531163000000333
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,97,2026112097,0,,,,0.04003169500001036
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,98,2026112098,1,F5ABC JN18 40,-31,0,0.0416864209999801
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,94,2026112094,0,,,,0.49483148199999505
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,93,2026112093,0,,,,0.5165494440000202
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,0,2026122000,1,K1ABC FN42 33,-30,0,0.054786293999995905
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,96,2026112096,1,F5ABC JN18 40,-30,0,0.2532653109999785
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,3,2026122003,1,K1ABC FN42 33,-29,0,0.0497837739999909
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,99,2026112099,1,F5ABC JN18 40,-30,0,0.23658172900002228
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,5,2026122005,1,K1ABC FN42 33,-30,0,0.045087849999987384
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,4,2026122004,1,K1ABC FN42 33,-31,0,0.32845693900000583
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,6,2026122006,1,K1ABC FN42 33,-31,0,0.25614622800000575
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,1,2026122001,0,,,,0.5410833269999955
K1ABC FN42 33,K1ABC,FN42,33,quadratic_residual,-30.5,0.0,0.3125,2,2026122002,0,,,,0.5364629430000036
