noise_family,carrier_frequency_hz,target_sigma_y_1s,realized_sigma_y_1s,snr_db,trial_index,oscillator_seed,noise_seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,raw_frequency_rms_hz,raw_max_abs_frequency_hz,residual_frequency_rms_hz,residual_max_abs_frequency_hz,residual_peak_to_peak_hz,max_abs_phase_rad,phase_rms_rad,phase_peak_to_peak_rad,fitted_constant_hz,fitted_linear_coefficient,dot_with_constant,dot_with_x,runtime_seconds
white_FM,10000000.0,1e-09,7.912571917419495e-10,-31.0,5,2026102005,2026111105,1,K1ABC FN42 33,-31,0,10.140200,0.008920046253263973,0.025949447505535243,0.008899913545112546,0.02656607862809209,0.04459095868261756,0.40184628294583574,0.19613920507257768,0.720625002986433,0.00013025291633965533,-0.0010101701206049324,-2.949029909160572e-17,1.3597196485911818e-17,0.24672831300085818
white_FM,10000000.0,1e-09,9.69776994076439e-10,-30.5,6,2026102006,2026101106,1,K1ABC FN42 33,-31,0,10.140200,0.009276817044637366,0.023867799870157507,0.00915357732107951,0.024417465167456732,0.04598708842887682,0.6049598971196893,0.25549995648275947,1.0116910461320079,0.0005966370798745843,0.0024080934440248248,-2.7755575615628914e-17,-5.1034731712300463e-17,0.10636920099932468
white_FM,10000000.0,1e-09,9.756524839239578e-10,-31.0,7,2026102007,2026111107,1,K1ABC FN42 33,-30,0,10.140200,0.010116585346272158,0.030407310058348513,0.010114549682544943,0.0301250160893536,0.05886207789336169,0.35744185096889186,0.1304433328118291,0.6287074746236737,-0.00019561562976709644,9.001212150581094e-05,-2.0816681711721685e-17,-5.386949801414759e-18,0.2382018220014288
white_FM,10000000.0,1e-09,9.756524839239578e-10,-30.5,7,2026102007,2026101107,1,K1ABC FN42 33,-30,0,10.140200,0.010116585346272158,0.030407310058348513,0.010114549682544943,0.0301250160893536,0.05886207789336169,0.35744185096889186,0.1304433328118291,0.6287074746236737,-0.00019561562976709644,9.001212150581094e-05,-2.0816681711721685e-17,-5.386949801414759e-18,0.3111250590009149
white_FM,10000000.0,1e-09,9.69776994076439e-10,-31.0,6,2026102006,2026111106,1,K1ABC FN42 33,-30,0,10.140200,0.009276817044637366,0.023867799870157507,0.00915357732107951,0.024417465167456732,0.04598708842887682,0.6049598971196893,0.25549995648275947,1.0116910461320079,0.0005966370798745843,0.0024080934440248248,-2.7755575615628914e-17,-5.1034731712300463e-17,0.3165626419995533
white_FM,10000000.0,1e-09,1.0479361188160418e-09,-31.0,9,2026102009,2026111109,0,,,,,0.010655266013252214,0.031170990650056494,0.010460081227360555,0.028199090257856167,0.05403060455223334,0.5319447971503208,0.20800971038658098,0.8835521048458532,-0.0019269836843554126,0.001071370295385292,-4.85722573273506e-17,-4.134875636170459e-17,0.06461202600075922
white_FM,10000000.0,1e-09,1.0402503398429408e-09,-30.5,10,2026102010,2026101110,1,K1ABC FN42 33,-30,0,10.140200,0.01030509890710175,0.026396868873180972,0.010280923898826119,0.02675217136108034,0.05071555959897013,0.3090167811294423,0.12274696185101383,0.5950539334291087,-0.0006463662571495512,-0.0005016205384949953,3.8163916471489756e-17,6.266621915596076e-18,0.07004522799979895
white_FM,10000000.0,1e-09,9.229112577367561e-10,-30.5,8,2026102008,2026101108,1,K1ABC FN42 33,-30,0,10.140200,0.008286308635810083,0.02595305247145252,0.008219852452926987,0.02708662098938636,0.04548872163016514,0.23348629694350656,0.1073730292187589,0.45936985394278046,-0.0009879156086664016,-0.000620941350034867,4.163336342344337e-17,-1.5156272814896346e-17,0.3786201840011927
white_FM,10000000.0,1e-09,9.229112577367561e-10,-31.0,8,2026102008,2026111108,1,K1ABC FN42 33,-29,0,10.140200,0.008286308635810083,0.02595305247145252,0.008219852452926987,0.02708662098938636,0.04548872163016514,0.23348629694350656,0.1073730292187589,0.45936985394278046,-0.0009879156086664016,-0.000620941350034867,4.163336342344337e-17,-1.5156272814896346e-17,0.27121849399918574
white_FM,10000000.0,1e-09,8.945349634014402e-10,-30.5,11,2026102011,2026101111,1,K1ABC FN42 33,-30,0,10.140200,0.009435276892817038,0.03106641716621415,0.009293502853957223,0.03160450037857581,0.05307357416022507,0.5012776876238473,0.2536245254674194,0.9126405407321991,-0.0009856391224493306,-0.002265751794818831,5.204170427930421e-17,2.869700220076122e-17,0.07782563900036621
