replicate,bDA,status,iterations,error
179,6.99767993451071,success,5,
180,7.411467147235538,success,4,
181,8.545612518038121,success,4,
182,8.320224766773645,success,4,
183,6.2313934779945,success,5,
184,7.580083196244539,success,4,
185,7.2539516946368865,success,4,
186,7.168233949262494,success,4,
187,7.952761268824642,success,4,
188,8.655687523795766,success,4,
189,7.0310923126739535,success,4,
190,8.184731200302142,success,4,
191,8.332171198237551,success,4,
192,6.986908481450973,success,4,
193,8.083309910173572,success,4,
194,8.142227060698495,success,5,
195,7.78109427333082,success,5,
196,8.17952930606256,success,4,
197,6.992010269641832,success,4,
198,8.264334761442578,success,4,
199,7.105162657954949,success,4,
200,7.634315652820199,success,4,
201,7.312388174360617,success,5,
202,7.972810095089561,success,4,
203,8.693894126229551,success,4,
204,6.946185502492191,success,4,
205,7.942220720531125,success,4,
206,8.573190575343371,success,5,
207,7.5544853014411775,success,4,
208,8.415446812576757,success,4,
209,8.860122032787089,success,5,
210,7.2492944538234365,success,4,
211,7.014110669988842,success,4,
212,7.3307152219813725,success,4,
213,7.380292047692296,success,4,
214,7.5837290372764175,success,4,
215,7.775157529575806,success,5,
216,6.830085953787612,success,4,
217,8.220152559804628,success,4,
218,7.253321881725727,success,4,
219,7.892855795433019,success,4,
220,7.444524488013675,success,4,
221,8.277615313359025,success,4,
222,7.506357827615738,success,4,
223,7.185960230342498,success,4,
224,7.31385679491687,success,4,
225,7.2826657998811815,success,4,
226,7.267974788302154,success,4,
227,7.849371199413965,success,4,
228,8.140392977503137,success,4,
229,8.260537770136287,success,4,
230,6.357879533902236,success,5,
231,7.7017039853244444,success,4,
232,7.778952880750072,success,5,
233,7.394531838884776,success,4,
234,7.8797865038197505,success,4,
235,8.207192146358237,success,4,
236,7.401724697259378,success,4,
237,7.569106423006896,success,4,
238,7.6654822737666,success,5,
239,7.828576600321672,success,4,
240,8.781914254226773,success,5,
241,8.18953378575368,success,4,
242,8.037576301648114,success,4,
243,6.79450054217035,success,4,
244,7.698303324580927,success,4,
245,8.084765782410722,success,4,
246,7.460846404630886,success,4,
247,8.115190261472323,success,4,
248,7.836380080480617,success,4,
249,7.845948752139091,success,4,
250,7.148758748740643,success,4,
251,7.9540978421792685,success,4,
252,8.224237802851697,success,4,
253,7.2565980088693935,success,4,
254,8.54275102898217,success,5,
255,7.506757451611419,success,4,
256,7.6052867121350785,success,4,
257,6.827178455489571,success,5,
258,8.480233355903643,success,5,
259,7.812632194694832,success,5,
260,8.333681259639913,success,4,
261,8.628366350253915,success,5,
262,6.607918506144039,success,5,
263,7.6113374154417315,success,5,
264,7.607397233236062,success,4,
265,7.338940084776082,success,4,
266,8.801971861590916,success,5,
267,7.386306987164315,success,4,
268,8.191942081024603,success,4,
269,7.071256597418952,success,4,
270,8.417834551207116,success,5,
271,6.578877507820563,success,5,
272,6.907059565169367,success,5,
273,7.896427428645877,success,4,
274,7.438633132849443,success,4,
275,7.415192686989075,success,4,
276,8.359798919110181,success,4,
277,7.452946361824111,success,4,
278,7.438049094464791,success,4,
279,7.455659768599327,success,5,
280,7.016484593960672,success,4,
281,8.222573737423764,success,4,
282,7.7004673883593195,success,4,
283,8.820737892588934,success,4,
284,6.680081673576973,success,5,
285,7.304641808042878,success,4,
286,7.056021260087555,success,4,
287,7.673683110157404,success,4,
288,7.451859218480446,success,4,
289,7.379927871154123,success,4,
290,8.401829685426335,success,4,
291,7.448518613272817,success,4,
292,7.028989266183096,success,4,
293,7.440989304898726,success,4,
294,7.531827194965105,success,5,
295,6.80349744040601,success,4,
296,7.2133116911605235,success,4,
297,7.145558044032054,success,4,
298,7.589594933457879,success,4,
299,8.119221553242712,success,4,
300,7.270085433294081,success,4,
301,8.106916629050794,success,4,
302,7.43146912845071,success,4,
303,7.5149215146442065,success,4,
304,8.504586790274107,success,4,
305,7.770990218044913,success,4,
306,6.51677471264137,success,5,
307,7.665449806094942,success,5,
308,8.454493074514474,success,4,
309,7.302254610737814,success,4,
310,7.031456172091552,success,5,
311,7.694394457105274,success,4,
312,7.569848914579919,success,4,
313,8.718385941786279,success,4,
314,6.594159053414936,success,5,
315,8.090828833895001,success,4,
316,7.794088750596682,success,4,
317,8.266694953825166,success,4,
318,7.433010417100562,success,4,
319,8.301491808879373,success,5,
320,8.289080126533506,success,4,
321,8.288198319710565,success,4,
322,7.599991672846176,success,4,
323,7.874383132823766,success,5,
324,8.332133943338993,success,4,
325,8.412787352972046,success,5,
326,7.596378627781277,success,4,
327,7.99856633166981,success,4,
328,6.987689994472412,success,4,
329,7.715368407037726,success,4,
330,7.611670228914734,success,4,
331,7.739944682182211,success,4,
332,7.862059443379344,success,4,
333,6.654562226892296,success,5,
334,6.759192270457567,success,4,
335,7.034614300175924,success,4,
336,7.690599858735071,success,4,
337,7.496628197221685,success,4,
338,6.801015751510946,success,5,
339,6.500975587516319,success,4,
340,7.273580104430479,success,5,
341,8.505696122811644,success,5,
342,6.639350086659055,success,4,
