source_dataset,snr_db,abs_linear_drift_hz,A_res_hz,decoded_success,seed,trial_index,cluster_id,snr_c,in_primary_support
linear_drift_boundary,-29.5,0.0,0.0,1,2026092764,164,linear_drift_boundary|-29.5|2026092764,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092755,155,linear_drift_boundary|-29.5|2026092755,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092767,167,linear_drift_boundary|-29.5|2026092767,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092761,161,linear_drift_boundary|-29.5|2026092761,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092766,166,linear_drift_boundary|-29.5|2026092766,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092768,168,linear_drift_boundary|-29.5|2026092768,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092769,169,linear_drift_boundary|-29.5|2026092769,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092770,170,linear_drift_boundary|-29.5|2026092770,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092771,171,linear_drift_boundary|-29.5|2026092771,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092773,173,linear_drift_boundary|-29.5|2026092773,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092765,165,linear_drift_boundary|-29.5|2026092765,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092774,174,linear_drift_boundary|-29.5|2026092774,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092775,175,linear_drift_boundary|-29.5|2026092775,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092778,178,linear_drift_boundary|-29.5|2026092778,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092779,179,linear_drift_boundary|-29.5|2026092779,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092772,172,linear_drift_boundary|-29.5|2026092772,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092781,181,linear_drift_boundary|-29.5|2026092781,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092776,176,linear_drift_boundary|-29.5|2026092776,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092777,177,linear_drift_boundary|-29.5|2026092777,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092783,183,linear_drift_boundary|-29.5|2026092783,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092784,184,linear_drift_boundary|-29.5|2026092784,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092780,180,linear_drift_boundary|-29.5|2026092780,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092785,185,linear_drift_boundary|-29.5|2026092785,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092782,182,linear_drift_boundary|-29.5|2026092782,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092788,188,linear_drift_boundary|-29.5|2026092788,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092790,190,linear_drift_boundary|-29.5|2026092790,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092786,186,linear_drift_boundary|-29.5|2026092786,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092787,187,linear_drift_boundary|-29.5|2026092787,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092789,189,linear_drift_boundary|-29.5|2026092789,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092792,192,linear_drift_boundary|-29.5|2026092792,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092795,195,linear_drift_boundary|-29.5|2026092795,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092791,191,linear_drift_boundary|-29.5|2026092791,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092796,196,linear_drift_boundary|-29.5|2026092796,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092794,194,linear_drift_boundary|-29.5|2026092794,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092797,197,linear_drift_boundary|-29.5|2026092797,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092798,198,linear_drift_boundary|-29.5|2026092798,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092793,193,linear_drift_boundary|-29.5|2026092793,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092799,199,linear_drift_boundary|-29.5|2026092799,0.75,True
linear_drift_boundary,-29.5,0.25,0.0,1,2026092603,3,linear_drift_boundary|-29.5|2026092603,0.75,True
linear_drift_boundary,-29.5,0.25,0.0,1,2026092602,2,linear_drift_boundary|-29.5|2026092602,0.75,True
linear_drift_boundary,-29.5,0.25,0.0,1,2026092601,1,linear_drift_boundary|-29.5|2026092601,0.75,True
linear_drift_boundary,-29.5,0.25,0.0,1,2026092600,0,linear_drift_boundary|-29.5|2026092600,0.75,True
linear_drift_boundary,-29.5,0.25,0.0,1,2026092604,4,linear_drift_boundary|-29.5|2026092604,0.75,True
linear_drift_boundary,-29.5,0.25,0.0,1,2026092607,7,linear_drift_boundary|-29.5|2026092607,0.75,True
