snr_db,linear_drift_hz,A_res_hz,trial_index,seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,runtime_seconds
-30.0,0.0,0.25,42,2026093042,1,K1ABC FN42 33,-30,0,10.140200,0.2594176390002758
-30.0,0.0,0.25,43,2026093043,1,K1ABC FN42 33,-31,0,10.140200,0.27408543000001373
-30.0,0.0,0.25,46,2026093046,1,K1ABC FN42 33,-30,0,10.140200,0.04816674599987891
-30.0,0.0,0.25,40,2026093040,0,,,,,0.530162467000082
-30.0,0.0,0.25,47,2026093047,1,K1ABC FN42 33,-29,0,10.140200,0.05388242399931187
-30.0,0.0,0.25,48,2026093048,1,K1ABC FN42 33,-30,0,10.140200,0.2696643400004177
-30.0,0.0,0.25,49,2026093049,1,K1ABC FN42 33,-30,0,10.140200,0.3367770059994655
-30.0,0.0,0.25,51,2026093051,1,K1ABC FN42 33,-30,0,10.140200,0.04736610800046037
-30.0,0.0,0.25,44,2026093044,0,,,,,0.5370932170008018
-30.0,0.0,0.25,45,2026093045,0,,,,,0.5473782239996581
-30.0,0.0,0.25,50,2026093050,1,K1ABC FN42 33,-31,0,10.140200,0.24813483199977782
-30.0,0.0,0.25,54,2026093054,1,K1ABC FN42 33,-30,0,10.140200,0.17588782900020306
-30.0,0.0,0.25,53,2026093053,1,K1ABC FN42 33,-30,0,10.140200,0.24288174600042112
-30.0,0.0,0.25,52,2026093052,1,K1ABC FN42 33,-30,0,10.140200,0.26998930599984305
-30.0,0.0,0.25,57,2026093057,1,K1ABC FN42 33,-31,0,10.140200,0.09392395599934389
-30.0,0.0,0.25,55,2026093055,1,K1ABC FN42 33,-30,0,10.140200,0.25745622100021137
-30.0,0.0,0.25,59,2026093059,1,K1ABC FN42 33,-29,0,10.140200,0.06438455800071097
-30.0,0.0,0.25,61,2026093061,1,K1ABC FN42 33,-30,0,10.140200,0.051629346000481746
-30.0,0.0,0.25,58,2026093058,1,K1ABC FN42 33,-30,0,10.140200,0.25961204200029897
-30.0,0.0,0.25,62,2026093062,1,K1ABC FN42 33,-31,0,10.140200,0.24977856199984672
-30.0,0.0,0.25,56,2026093056,0,,,,,0.5281050679996042
-30.0,0.0,0.25,64,2026093064,1,K1ABC FN42 33,-30,0,10.140200,0.05182736099959584
-30.0,0.0,0.25,63,2026093063,1,K1ABC FN42 33,-29,0,10.140200,0.24547338699994725
-30.0,0.0,0.25,67,2026093067,1,K1ABC FN42 33,-29,0,10.140200,0.09600877800039598
-30.0,0.0,0.25,60,2026093060,0,,,,,0.5168714229994293
-30.0,0.0,0.25,69,2026093069,1,K1ABC FN42 33,-30,0,10.140200,0.07263267500002257
