trajectory_id,family,snr_db,trial_index,seed,decoded_success,tau_seconds,signed_A_res_hz,max_abs_frequency_hz,frequency_rms_hz,frequency_peak_to_peak_hz,max_abs_phase_rad,phase_rms_rad,final_phase_rad,phase_peak_to_peak_rad,correlation_with_negative_quadratic,cosine_similarity_with_negative_quadratic,RMS_shape_difference,max_shape_difference
quadratic_+0.25,quadratic,-30.0,50,2026100250,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,45,2026100245,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,52,2026100252,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,54,2026100254,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,49,2026100249,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,51,2026100251,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,55,2026100255,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,56,2026100256,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,53,2026100253,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,57,2026100257,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,58,2026100258,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,60,2026100260,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,61,2026100261,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,62,2026100262,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,65,2026100265,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,64,2026100264,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
