snr_db,signed_A_res_hz,abs_A_res_hz,trial_index,seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,runtime_seconds
-30.0,-0.25,0.25,80,2026100280,1,K1ABC FN42 33,-30,0,10.140200,0.06863086399971507
-30.0,-0.25,0.25,78,2026100278,1,K1ABC FN42 33,-30,0,10.140200,0.24895101400034036
-30.0,-0.25,0.25,79,2026100279,1,K1ABC FN42 33,-31,0,10.140200,0.2683444940003028
-30.0,-0.25,0.25,83,2026100283,1,K1ABC FN42 33,-30,0,10.140200,0.054702567999811436
-30.0,-0.25,0.25,76,2026100276,0,,,,,0.5180111910003689
-30.0,-0.25,0.25,85,2026100285,1,K1ABC FN42 33,-30,0,10.140200,0.05514596300054109
-30.0,-0.25,0.25,82,2026100282,1,K1ABC FN42 33,-30,0,10.140200,0.16325293099998817
-30.0,-0.25,0.25,81,2026100281,1,K1ABC FN42 33,-30,0,10.140200,0.23055130900047516
-30.0,-0.25,0.25,86,2026100286,1,K1ABC FN42 33,-30,0,10.140200,0.075382888000604
-30.0,-0.25,0.25,84,2026100284,1,K1ABC FN42 33,-29,0,10.140200,0.23771706100069423
-30.0,-0.25,0.25,87,2026100287,1,K1ABC FN42 33,-29,0,10.140200,0.23756814299940743
-30.0,-0.25,0.25,88,2026100288,1,K1ABC FN42 33,-30,0,10.140200,0.22662819200013473
-30.0,-0.25,0.25,89,2026100289,1,K1ABC FN42 33,-31,0,10.140200,0.24017559200001415
-30.0,-0.25,0.25,90,2026100290,1,K1ABC FN42 33,-30,0,10.140200,0.17002742099975876
-30.0,-0.25,0.25,94,2026100294,1,K1ABC FN42 33,-30,0,10.140200,0.10362175999944157
-30.0,-0.25,0.25,95,2026100295,1,K1ABC FN42 33,-29,0,10.140200,0.0444870669998636
-30.0,-0.25,0.25,92,2026100292,1,K1ABC FN42 33,-30,0,10.140200,0.27336816400020325
-30.0,-0.25,0.25,96,2026100296,1,K1ABC FN42 33,-29,0,10.140200,0.13453994500014232
-30.0,-0.25,0.25,97,2026100297,1,K1ABC FN42 33,-29,0,10.140200,0.17020144000071014
-30.0,-0.25,0.25,91,2026100291,0,,,,,0.5139467810004135
-30.0,-0.25,0.25,93,2026100293,0,,,,,0.5151014960001703
-30.0,-0.25,0.25,98,2026100298,1,K1ABC FN42 33,-30,0,10.140200,0.2612001679999594
-30.0,-0.25,0.25,99,2026100299,1,K1ABC FN42 33,-31,0,10.140200,0.2832841869994809
-30.0,0.5,0.5,0,2026100200,0,,,,,0.521750068000074
-30.0,0.5,0.5,1,2026100201,0,,,,,0.5280602570001065
-30.0,0.5,0.5,4,2026100204,1,K1ABC FN42 33,-29,0,10.140200,0.07596638899940444
-30.0,0.5,0.5,2,2026100202,0,,,,,0.5298580720000245
-30.0,0.5,0.5,3,2026100203,0,,,,,0.5272033930004909
-30.0,0.5,0.5,5,2026100205,0,,,,,0.49877610900057334
-30.0,0.5,0.5,6,2026100206,0,,,,,0.5173989140002959
-30.0,0.5,0.5,8,2026100208,0,,,,,0.3945078420001664
-30.0,0.5,0.5,7,2026100207,0,,,,,0.5103685320000295
-30.0,0.5,0.5,11,2026100211,1,K1ABC FN42 33,-30,0,10.140200,0.049424388999796065
-30.0,0.5,0.5,9,2026100209,0,,,,,0.4141045669994128
-30.0,0.5,0.5,12,2026100212,0,,,,,0.43770284700076445
-30.0,0.5,0.5,10,2026100210,0,,,,,0.5032189419998758
-30.0,0.5,0.5,13,2026100213,0,,,,,0.5057716040000741
-30.0,0.5,0.5,15,2026100215,0,,,,,0.4268142999999327
-30.0,0.5,0.5,14,2026100214,0,,,,,0.525057654000193
-30.0,0.5,0.5,16,2026100216,0,,,,,0.4452177980001579
-30.0,0.5,0.5,19,2026100219,1,K1ABC FN42 33,-29,0,10.140200,0.04851176900046994
-30.0,0.5,0.5,18,2026100218,1,K1ABC FN42 33,-29,0,10.140200,0.056405364999591256
-30.0,0.5,0.5,22,2026100222,1,K1ABC FN42 33,-30,0,10.140200,0.05973147100030474
-30.0,0.5,0.5,17,2026100217,0,,,,,0.489686650999829
-30.0,0.5,0.5,23,2026100223,1,K1ABC FN42 33,-30,0,10.140200,0.07547075999991648
-30.0,0.5,0.5,24,2026100224,1,K1ABC FN42 33,-29,0,10.140200,0.06469208100043033
-30.0,0.5,0.5,26,2026100226,1,K1ABC FN42 33,-30,0,10.140200,0.11202559299999848
-30.0,0.5,0.5,20,2026100220,0,,,,,0.5093801070006521
-30.0,0.5,0.5,21,2026100221,0,,,,,0.5082431249993533
-30.0,0.5,0.5,29,2026100229,1,K1ABC FN42 33,-30,0,10.140200,0.058856024999840884
-30.0,0.5,0.5,30,2026100230,1,K1ABC FN42 33,-30,0,10.140200,0.07262803899993742
-30.0,0.5,0.5,25,2026100225,0,,,,,0.5169211820002602
-30.0,0.5,0.5,28,2026100228,1,K1ABC FN42 33,-30,0,10.140200,0.27825273999951605
-30.0,0.5,0.5,27,2026100227,0,,,,,0.5086954580001475
-30.0,0.5,0.5,31,2026100231,1,K1ABC FN42 33,-30,0,10.140200,0.35744591200000286
-30.0,0.5,0.5,35,2026100235,1,K1ABC FN42 33,-29,0,10.140200,0.10662157600017963
-30.0,0.5,0.5,36,2026100236,1,K1ABC FN42 33,-30,0,10.140200,0.05071615399992879
-30.0,0.5,0.5,32,2026100232,0,,,,,0.5435790430001362
-30.0,0.5,0.5,33,2026100233,0,,,,,0.5274952469999334
-30.0,0.5,0.5,34,2026100234,0,,,,,0.5209006400000362
-30.0,0.5,0.5,40,2026100240,1,K1ABC FN42 33,-30,0,10.140200,0.05264813200028584
-30.0,0.5,0.5,39,2026100239,1,K1ABC FN42 33,-30,0,10.140200,0.14888497700030712
-30.0,0.5,0.5,41,2026100241,1,K1ABC FN42 33,-30,0,10.140200,0.09220753899990086
-30.0,0.5,0.5,42,2026100242,1,K1ABC FN42 33,-30,0,10.140200,0.06730236899966258
-30.0,0.5,0.5,43,2026100243,1,K1ABC FN42 33,-30,0,10.140200,0.09131008999975165
-30.0,0.5,0.5,44,2026100244,1,K1ABC FN42 33,-30,0,10.140200,0.1190971919995718
-30.0,0.5,0.5,37,2026100237,0,,,,,0.5699998059999416
-30.0,0.5,0.5,38,2026100238,0,,,,,0.5656256239999493
-30.0,0.5,0.5,47,2026100247,1,K1ABC FN42 33,-30,0,10.140200,0.05358450499988976
-30.0,0.5,0.5,49,2026100249,1,K1ABC FN42 33,-30,0,10.140200,0.07052975199985667
-30.0,0.5,0.5,45,2026100245,0,,,,,0.5532034220004789
-30.0,0.5,0.5,46,2026100246,0,,,,,0.529709849000028
-30.0,0.5,0.5,51,2026100251,1,K1ABC FN42 33,-30,0,10.140200,0.09820396800023445
-30.0,0.5,0.5,50,2026100250,0,,,,,0.4210748559999047
-30.0,0.5,0.5,48,2026100248,0,,,,,0.5307448980001936
-30.0,0.5,0.5,54,2026100254,1,K1ABC FN42 33,-30,0,10.140200,0.04769478399975924
-30.0,0.5,0.5,56,2026100256,1,K1ABC FN42 33,-30,0,10.140200,0.07688529000006383
-30.0,0.5,0.5,57,2026100257,1,K1ABC FN42 33,-30,0,10.140200,0.07717113600028824
-30.0,0.5,0.5,52,2026100252,0,,,,,0.5227457399996638
-30.0,0.5,0.5,53,2026100253,0,,,,,0.5166036889995667
-30.0,0.5,0.5,60,2026100260,1,K1ABC FN42 33,-30,0,10.140200,0.04999024700009613
-30.0,0.5,0.5,55,2026100255,0,,,,,0.5143956720003189
-30.0,0.5,0.5,61,2026100261,1,K1ABC FN42 33,-29,0,10.140200,0.041421389999413805
-30.0,0.5,0.5,63,2026100263,1,K1ABC FN42 33,-30,0,10.140200,0.04235699699984252
-30.0,0.5,0.5,58,2026100258,0,,,,,0.5054846359998919
-30.0,0.5,0.5,59,2026100259,0,,,,,0.509629668999878
-30.0,0.5,0.5,62,2026100262,0,,,,,0.5024208640006691
-30.0,0.5,0.5,64,2026100264,0,,,,,0.5038806600005046
-30.0,0.5,0.5,65,2026100265,0,,,,,0.49632944600034534
-30.0,0.5,0.5,66,2026100266,0,,,,,0.40487882500019623
-30.0,0.5,0.5,67,2026100267,0,,,,,0.5192330840000068
-30.0,0.5,0.5,68,2026100268,0,,,,,0.5178147369997532
-30.0,0.5,0.5,69,2026100269,0,,,,,0.5301078450002024
-30.0,0.5,0.5,70,2026100270,0,,,,,0.5114038120000259
-30.0,0.5,0.5,71,2026100271,0,,,,,0.525643381000009
-30.0,0.5,0.5,72,2026100272,0,,,,,0.510174046999964
-30.0,0.5,0.5,75,2026100275,1,K1ABC FN42 33,-30,0,10.140200,0.06096411300040927
-30.0,0.5,0.5,73,2026100273,0,,,,,0.5114552449995244
-30.0,0.5,0.5,74,2026100274,0,,,,,0.5097240339991913
-30.0,0.5,0.5,76,2026100276,0,,,,,0.49236041200038017
-30.0,0.5,0.5,77,2026100277,0,,,,,0.5078111779994288
-30.0,0.5,0.5,78,2026100278,0,,,,,0.5127174420003939
-30.0,0.5,0.5,82,2026100282,1,K1ABC FN42 33,-29,0,10.140200,0.04955329000040365
-30.0,0.5,0.5,79,2026100279,0,,,,,0.5156664470005126
-30.0,0.5,0.5,80,2026100280,0,,,,,0.5162405330002002
-30.0,0.5,0.5,81,2026100281,0,,,,,0.5205164700000751
-30.0,0.5,0.5,83,2026100283,0,,,,,0.416928972000278
