trajectory_id,noise_type,f_carrier_hz,sigma_y_ref,trajectory_index,seed,tau_seconds,allan_deviation
random_walk_FM_t0371_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,371,2026301370,2,1.4613247246470593e-09
random_walk_FM_t0371_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,371,2026301370,4,2.2928493602531545e-09
random_walk_FM_t0371_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,371,2026301370,8,3.5358453936104977e-09
random_walk_FM_t0371_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,371,2026301370,16,4.9393180064003365e-09
random_walk_FM_t0371_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,371,2026301370,32,5.244786279384582e-09
random_walk_FM_t0372_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,372,2026301371,1,1.093961695470298e-09
random_walk_FM_t0372_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,372,2026301371,2,1.2484524426189993e-09
random_walk_FM_t0372_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,372,2026301371,4,1.625297868677725e-09
random_walk_FM_t0372_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,372,2026301371,8,2.1177865822934145e-09
random_walk_FM_t0372_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,372,2026301371,16,3.4018447287589806e-09
random_walk_FM_t0372_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,372,2026301371,32,4.216626887281935e-09
random_walk_FM_t0373_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,373,2026301372,1,9.63171129466297e-10
random_walk_FM_t0373_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,373,2026301372,2,1.2841745434743206e-09
random_walk_FM_t0373_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,373,2026301372,4,1.717553786059648e-09
random_walk_FM_t0373_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,373,2026301372,8,2.496865455491619e-09
random_walk_FM_t0373_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,373,2026301372,16,3.4783082360281035e-09
random_walk_FM_t0373_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,373,2026301372,32,3.936650634505537e-09
random_walk_FM_t0374_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,374,2026301373,1,9.486539579496776e-10
random_walk_FM_t0374_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,374,2026301373,2,1.1175061697504432e-09
random_walk_FM_t0374_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,374,2026301373,4,1.4411396436383714e-09
random_walk_FM_t0374_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,374,2026301373,8,1.878397813866762e-09
random_walk_FM_t0374_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,374,2026301373,16,2.219310627311617e-09
random_walk_FM_t0374_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,374,2026301373,32,1.9861710107967434e-09
random_walk_FM_t0375_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,375,2026301374,1,1.0135920799170753e-09
random_walk_FM_t0375_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,375,2026301374,2,1.177772838556457e-09
random_walk_FM_t0375_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,375,2026301374,4,1.6398262194021714e-09
random_walk_FM_t0375_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,375,2026301374,8,2.288869805975605e-09
random_walk_FM_t0375_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,375,2026301374,16,3.950288805461676e-09
random_walk_FM_t0375_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,375,2026301374,32,5.879186272873838e-09
random_walk_FM_t0376_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,376,2026301375,1,9.347251403582985e-10
random_walk_FM_t0376_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,376,2026301375,2,1.1382824302591367e-09
random_walk_FM_t0376_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,376,2026301375,4,1.5164628646647859e-09
random_walk_FM_t0376_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,376,2026301375,8,1.965551293730126e-09
random_walk_FM_t0376_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,376,2026301375,16,2.1549686631651904e-09
random_walk_FM_t0376_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,376,2026301375,32,1.3201018403027228e-09
random_walk_FM_t0377_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,377,2026301376,1,9.783703124829281e-10
random_walk_FM_t0377_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,377,2026301376,2,1.105577707927553e-09
random_walk_FM_t0377_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,377,2026301376,4,1.5571998017629139e-09
random_walk_FM_t0377_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,377,2026301376,8,2.3037711673970333e-09
random_walk_FM_t0377_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,377,2026301376,16,2.377699087392486e-09
random_walk_FM_t0377_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,377,2026301376,32,3.416032454688699e-09
random_walk_FM_t0378_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,378,2026301377,1,9.822373956174035e-10
random_walk_FM_t0378_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,378,2026301377,2,1.1002049453018126e-09
random_walk_FM_t0378_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,378,2026301377,4,1.3519196872253052e-09
random_walk_FM_t0378_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,378,2026301377,8,2.0147818382562618e-09
random_walk_FM_t0378_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,378,2026301377,16,3.4159196898114036e-09
random_walk_FM_t0378_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,378,2026301377,32,6.627180871456259e-09
random_walk_FM_t0379_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,379,2026301378,1,1.0048093208998067e-09
random_walk_FM_t0379_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,379,2026301378,2,1.3136936398821097e-09
random_walk_FM_t0379_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,379,2026301378,4,1.87037246570769e-09
random_walk_FM_t0379_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,379,2026301378,8,2.5248808370203446e-09
random_walk_FM_t0379_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,379,2026301378,16,4.001999883434398e-09
random_walk_FM_t0379_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,379,2026301378,32,8.153281371247882e-09
random_walk_FM_t0380_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,380,2026301379,1,1.0257767231477196e-09
random_walk_FM_t0380_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,380,2026301379,2,1.4136367205891089e-09
