noise_type,f_carrier_hz,sigma_y_ref,n,descriptor,mean,std,median,p05,p25,p75,p95
white_FM,10000000.0,1e-09,500,phase_rms_rad,0.16858891891278913,0.050690807056353565,0.16144037247918025,0.1006188157449067,0.1342580791311378,0.19417082993897977,0.2637141977477469
white_FM,10000000.0,1e-09,500,fitted_constant_hz,-3.936850711529343e-05,0.0010892961449532992,-1.904110807802789e-05,-0.0018118769274723607,-0.0007557481235827543,0.0006563974284618059,0.0016922998708106907
white_FM,10000000.0,1e-09,500,fitted_linear_coefficient,-6.32649666877958e-05,0.0016965816071491707,-2.820696008673679e-05,-0.0029540281428891116,-0.0012342255486841947,0.0012489417759727131,0.002516327186430609
white_FM,10000000.0,3e-09,500,frequency_rms_hz,0.02991458661766676,0.002146079572105178,0.02979542187115932,0.02657280670309602,0.028456259625408244,0.031312967018943025,0.033467356591160506
white_FM,10000000.0,3e-09,500,max_abs_frequency_hz,0.08340793005669238,0.011636696907274187,0.0821890269314264,0.06668405067244493,0.07489900110628181,0.09010105392342059,0.10514512531919373
white_FM,10000000.0,3e-09,500,peak_to_peak_hz,0.15285923267032162,0.01801660775551066,0.1514823481642772,0.1262674211136606,0.14009241970123443,0.16424328068820526,0.1863299558625554
white_FM,10000000.0,3e-09,500,residual_frequency_rms_hz,0.02959133556374116,0.002129110674727088,0.029409540058882133,0.02635371860397822,0.028189294709076686,0.03098538566285655,0.033290515189084484
white_FM,10000000.0,3e-09,500,residual_max_abs_frequency_hz,0.08264422479759458,0.011968315954110345,0.08110326410714874,0.06642628729353156,0.073871229601778,0.08960078871593617,0.10403282255727189
white_FM,10000000.0,3e-09,500,residual_peak_to_peak_hz,0.15215250470581196,0.01810265789189329,0.15087833512070556,0.12572408003688101,0.13896869818872615,0.16341981577447257,0.18484515026643142
white_FM,10000000.0,3e-09,500,max_abs_phase_rad,1.2064262236005134,0.29589226671652685,1.1774521991267064,0.7754645253532436,1.000889992640817,1.381851608448246,1.7436225956610591
white_FM,10000000.0,3e-09,500,phase_rms_rad,0.5057667567383671,0.15207242116906067,0.48432111743754064,0.30185644723472005,0.4027742373934132,0.5825124898169393,0.7911425932432408
white_FM,10000000.0,3e-09,500,fitted_constant_hz,-0.0001181055213458802,0.0032678884348598973,-5.712332423408421e-05,-0.00543563078241708,-0.002267244370748262,0.0019691922853854165,0.0050768996124320705
white_FM,10000000.0,3e-09,500,fitted_linear_coefficient,-0.00018979490006338723,0.005089744821447511,-8.462088026021039e-05,-0.008862084428667334,-0.0037026766460525836,0.0037468253279181393,0.007548981559291825
white_FM,10000000.0,1e-08,500,frequency_rms_hz,0.09971528872555586,0.007153598573683927,0.09931807290386441,0.08857602234365342,0.09485419875136081,0.10437655672981007,0.11155785530386834
white_FM,10000000.0,1e-08,500,max_abs_frequency_hz,0.27802643352230794,0.03878898969091395,0.27396342310475463,0.22228016890814975,0.2496633370209394,0.300336846411402,0.3504837510639791
white_FM,10000000.0,1e-08,500,peak_to_peak_hz,0.5095307755677386,0.06005535918503555,0.5049411605475906,0.420891403712202,0.46697473233744813,0.5474776022940175,0.6210998528751848
white_FM,10000000.0,1e-08,500,residual_frequency_rms_hz,0.09863778521247053,0.007097035582423627,0.09803180019627378,0.0878457286799274,0.09396431569692229,0.10328461887618849,0.11096838396361494
white_FM,10000000.0,1e-08,500,residual_max_abs_frequency_hz,0.2754807493253153,0.03989438651370115,0.27034421369049577,0.2214209576451052,0.24623743200592668,0.2986692957197873,0.3467760751909063
white_FM,10000000.0,1e-08,500,residual_peak_to_peak_hz,0.5071750156860397,0.06034219297297763,0.5029277837356853,0.41908026678960336,0.46322899396242045,0.5447327192482418,0.6161505008881047
white_FM,10000000.0,1e-08,500,max_abs_phase_rad,4.021420745335044,0.9863075557217562,3.9248406637556874,2.584881751177479,3.33629997546939,4.606172028160819,5.812075318870201
white_FM,10000000.0,1e-08,500,phase_rms_rad,1.6858891891278909,0.5069080705635356,1.6144037247918022,1.0061881574490668,1.3425807913113779,1.9417082993897972,2.6371419774774685
white_FM,10000000.0,1e-08,500,fitted_constant_hz,-0.0003936850711529339,0.010892961449532992,-0.0001904110807802813,-0.0181187692747236,-0.0075574812358275385,0.006563974284618052,0.016922998708106905
white_FM,10000000.0,1e-08,500,fitted_linear_coefficient,-0.0006326496668779571,0.016965816071491703,-0.00028206960086736956,-0.029540281428891105,-0.012342255486841945,0.012489417759727128,0.025163271864306096
white_FM,14000000.0,1e-10,500,frequency_rms_hz,0.0013960140421577821,0.00010015038003157498,0.0013904530206541017,0.0012400643128111478,0.0013279587825190515,0.0014612717942173409,0.0015618099742541569
white_FM,14000000.0,1e-10,500,max_abs_frequency_hz,0.003892370069312312,0.0005430458556727953,0.0038354879234665656,0.0031119223647140966,0.0034952867182931517,0.0042047158497596285,0.004906772514895708
white_FM,14000000.0,1e-10,500,peak_to_peak_hz,0.007133430857948341,0.0008407750285904977,0.007069176247666269,0.005892479651970828,0.006537646252724274,0.007664686432116247,0.008695397940252586
white_FM,14000000.0,1e-10,500,residual_frequency_rms_hz,0.0013809289929745876,9.935849815393078e-05,0.0013724452027478328,0.0012298402015189836,0.0013155004197569122,0.001445984664266639,0.0015535573754906092
white_FM,14000000.0,1e-10,500,residual_max_abs_frequency_hz,0.0038567304905544136,0.000558521411191816,0.003784818991666941,0.0030998934070314726,0.0034473240480829737,0.004181370140077021,0.004854865052672688
white_FM,14000000.0,1e-10,500,residual_peak_to_peak_hz,0.007100450219604559,0.0008447907016216869,0.007040988972299593,0.005867123735054447,0.006485205915473887,0.007626258069475386,0.008626107012433467
white_FM,14000000.0,1e-10,500,max_abs_phase_rad,0.05629989043469062,0.013808305780104585,0.05494776929257963,0.03618834451648474,0.046708199656571484,0.0644864083942515,0.08136905446418272
white_FM,14000000.0,1e-10,500,phase_rms_rad,0.023602448647790476,0.007096712987889498,0.022601652147085233,0.014086634204286939,0.018796131078359295,0.02718391619145717,0.036919987684684574
white_FM,14000000.0,1e-10,500,fitted_constant_hz,-5.511590996141077e-06,0.00015250146029346188,-2.665755130923916e-06,-0.00025366276984613035,-0.00010580473730158554,9.189563998465278e-05,0.0002369219819134966
white_FM,14000000.0,1e-10,500,fitted_linear_coefficient,-8.857095336291408e-06,0.00023752142500088386,-3.948974412143195e-06,-0.00041356394000447545,-0.00017279157681578718,0.00017485184863617979,0.0003522858061002853
white_FM,14000000.0,3e-10,500,frequency_rms_hz,0.004188042126473347,0.00030045114009472497,0.0041713590619623046,0.0037201929384334436,0.003983876347557154,0.004383815382652023,0.004685429922762471
white_FM,14000000.0,3e-10,500,max_abs_frequency_hz,0.011677110207936936,0.0016291375670183861,0.011506463770399697,0.00933576709414229,0.010485860154879454,0.012614147549278885,0.014720317544687125
white_FM,14000000.0,3e-10,500,peak_to_peak_hz,0.02140029257384503,0.0025223250857714934,0.021207528742998805,0.017677438955912485,0.01961293875817282,0.02299405929634874,0.02608619382075776
white_FM,14000000.0,3e-10,500,residual_frequency_rms_hz,0.004142786978923762,0.0002980754944617924,0.004117335608243499,0.0036895206045569513,0.003946501259270737,0.004337953992799917,0.004660672126471828
white_FM,14000000.0,3e-10,500,residual_max_abs_frequency_hz,0.011570191471663242,0.0016755642335754483,0.011354456975000822,0.00929968022109442,0.010341972144248923,0.012544110420231066,0.014564595158018067
white_FM,14000000.0,3e-10,500,residual_peak_to_peak_hz,0.021301350658813674,0.0025343721048650607,0.021122966916898783,0.01760137120516334,0.019455617746421662,0.02287877420842616,0.025878321037300405
white_FM,14000000.0,3e-10,500,max_abs_phase_rad,0.16889967130407188,0.04142491734031376,0.16484330787773885,0.10856503354945414,0.1401245989697144,0.1934592251827545,0.24410716339254843
white_FM,14000000.0,3e-10,500,phase_rms_rad,0.07080734594337143,0.021290138963668496,0.0678049564412557,0.042259902612860806,0.05638839323507787,0.0815517485743715,0.11075996305405372
white_FM,14000000.0,3e-10,500,fitted_constant_hz,-1.653477298842323e-05,0.0004575043808803857,-7.997265392771825e-06,-0.0007609883095383915,-0.0003174142119047567,0.0002756869199539583,0.0007107659457404902
white_FM,14000000.0,3e-10,500,fitted_linear_coefficient,-2.6571286008874214e-05,0.0007125642750026516,-1.1846923236429762e-05,-0.0012406918200134267,-0.0005183747304473617,0.0005245555459085394,0.0010568574183008556
white_FM,14000000.0,1e-09,500,frequency_rms_hz,0.013960140421577822,0.00100150380031575,0.013904530206541019,0.012400643128111477,0.013279587825190516,0.01461271794217341,0.015618099742541572
white_FM,14000000.0,1e-09,500,max_abs_frequency_hz,0.03892370069312313,0.005430458556727954,0.038354879234665656,0.03111922364714097,0.03495286718293152,0.042047158497596285,0.04906772514895708
white_FM,14000000.0,1e-09,500,peak_to_peak_hz,0.07133430857948342,0.008407750285904979,0.0706917624766627,0.05892479651970829,0.06537646252724275,0.07664686432116247,0.08695397940252587
white_FM,14000000.0,1e-09,500,residual_frequency_rms_hz,0.013809289929745876,0.000993584981539308,0.013724452027478328,0.012298402015189839,0.013155004197569122,0.014459846642666392,0.015535573754906093
