experiment,trial_id,seed,message,snr_db,no_noise,impairment_type,cfo_hz,linear_drift_parameter,quadratic_parameter,A_res_hz,decoded_success,decoded_message,reported_snr,reported_frequency,reported_drift,decoder_exit_status,runtime_seconds,wsprd_version,decoder_stdout,decoder_stderr
frequency_linear,160,2026092681,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.037747031999970204,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,159,2026092680,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.1279810810010531,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,158,2026092679,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.13514568000027793,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,157,2026092678,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.14496372699977655,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,156,2026092677,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.1365074219993403,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,155,2026092676,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.14202152799953183,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,154,2026092675,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.047438568999496056,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,153,2026092674,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.14993434700045327,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,152,2026092673,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.05214512900056434,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,151,2026092672,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.05307188700135157,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,150,2026092671,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.0715546869996615,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,149,2026092670,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.13404170499961765,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,148,2026092669,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.14640570799929264,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,147,2026092668,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.1302090200006205,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,146,2026092667,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.15198249300010502,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,145,2026092666,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.05230654299884918,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,144,2026092665,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.054470527999001206,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,143,2026092664,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.05607796600088477,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,142,2026092663,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.15793718100030674,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,141,2026092662,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.15662598099879688,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
