replicate,mean_brier_amp_minus_phase
914,0.006553284417174555
915,0.005289027766022867
916,0.0023908621136831845
917,0.005260586535698354
918,0.006886124180363119
919,0.003261840004819881
920,0.00466713639436595
921,0.005830835764876846
922,0.006726833410405425
923,0.009916381033581525
924,0.005909473104734648
925,0.008632569404078166
926,0.005765110266226046
927,0.007737291808394559
928,0.006050009326630819
929,0.006544041864122727
930,0.005970217805262103
931,0.0051942258414405815
932,0.007128248322819985
933,0.00420835941493691
934,0.005230638283364168
935,0.006965243233509404
936,0.005692143309051744
937,0.004757211305314732
938,0.005205062327460459
939,0.007179019565953333
940,0.006620643330970355
941,0.007898033686041432
942,0.004572060361143876
943,0.0037397421193790296
944,0.006705428319054892
945,0.007461230968840634
946,0.0074927263221450345
947,0.005162130845288346
948,0.006897955472945141
949,0.0061402771225023065
950,0.005760792525852316
951,0.004454225897527946
952,0.006744036544567304
953,0.005972716866329894
954,0.005961881299212621
955,0.005632941775520183
956,0.006347241594833998
957,0.00617247338827586
958,0.00807991948498768
959,0.006921360551744946
960,0.007502000425038049
961,0.005657365860944743
962,0.006717955698239476
963,0.005103253859868772
964,0.006449972851961713
965,0.0051397458740946094
966,0.0054377840719437125
967,0.007385536683730209
